,breed,Energy Level,Exercise Requirements,Playfulness,Affection Level,Friendliness to Dogs,Friendliness to Other Pets,Friendliness to Strangers,Watchfulness,Ease of Training,Grooming Requirements,Heat Sensitivity,Vocality
898,Shih Tzu/Cavalier Span,3.0,1.0,4.0,4.0,4.0,4.0,4.0,1.0,2.0,4.0,5.0,3.0
899,Chinese Sharpei/Border Collie,5.0,5.0,4.0,3.0,3.0,1.0,2.0,3.0,5.0,3.0,3.0,4.0
900,Bulldog/Boston Terrier,2.0,1.0,3.5,4.0,2.0,4.0,3.5,1.5,2.5,1.5,5.0,3.0
901,Whippet/Borzoi,3.0,3.0,3.0,4.0,5.0,4.0,3.0,1.0,3.0,1.0,3.0,4.0
902,Cocker Spaniel/Australian Shepherd,4.0,5.0,5.0,4.0,3.0,3.0,2.0,4.0,5.0,3.0,3.0,5.0
903,Miniature Poodle/English Cocker Spaniel,3.5,3.0,4.5,4.5,4.5,4.0,4.0,1.5,4.5,4.0,3.0,4.5
904,Jack Russell Terrier/Rat Terrier,4.5,3.5,5.0,3.5,2.5,2.0,2.5,2.0,3.5,2.0,2.5,5.0
905,Shih Tzu/Yorkshire Terrier,3.5,1.0,4.0,3.5,3.0,3.0,3.5,1.0,2.0,4.0,4.5,4.0
906,Australian Shepherd/Chihuahua Shorthair,4.0,5.0,5.0,4.0,3.0,3.0,2.0,4.0,5.0,3.0,3.0,5.0
907,Shetland Sheepdog/Cavalier Span,3.0,3.0,3.0,3.0,4.0,4.0,1.0,1.0,5.0,4.0,3.0,5.0
908,Rat Terrier/Miniature Poodle,4.0,3.0,5.0,4.0,3.5,3.0,3.0,1.5,4.5,3.0,2.5,5.0
909,Shetland Sheepdog/Border Collie,4.0,4.0,3.5,3.0,3.5,2.5,1.5,2.0,5.0,3.5,3.0,4.5
910,Cocker Spaniel/Dachshund Longhair,4.0,2.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,3.0,5.0
911,Pug/Boston Terrier,3.0,1.5,3.5,3.5,3.0,3.5,2.5,1.0,3.0,1.5,5.0,5.0
913,Pug/Pomeranian,3.5,1.5,4.0,2.5,2.0,3.0,1.5,1.0,2.0,2.5,4.0,5.0
914,Labrador Retriever/Pembroke Welsh Corgi,3.5,3.0,4.0,4.5,3.5,4.5,4.5,3.0,4.5,1.5,3.0,4.5
915,Standard Poodle/Whippet,3.0,3.0,3.0,4.0,5.0,4.0,3.0,1.0,3.0,1.0,3.0,4.0
916,Bernese Mountain Dog/Rottweiler,2.5,3.0,2.0,2.5,2.0,3.0,2.0,3.5,3.5,2.0,4.5,4.0
917,Alaskan Malamute/Alaskan Husky,3.0,4.0,3.0,5.0,1.0,1.0,4.0,3.0,1.0,3.0,5.0,3.0
918,Siberian Husky/Anatol Shepherd,3.0,4.0,4.0,4.0,3.0,3.0,5.0,1.0,1.0,3.0,5.0,3.0
919,Lhasa Apso/West Highland,3.0,2.0,3.0,3.0,2.0,3.0,1.0,1.0,1.0,4.0,4.0,5.0
920,Cairn Terrier/Border Collie,4.5,4.0,3.5,3.0,3.0,1.0,1.5,2.0,3.0,3.0,3.0,4.5
921,Pit Bull/Rottweiler,3.0,3.0,2.0,2.0,1.0,2.0,1.0,5.0,3.0,1.0,4.0,5.0
922,Golden Retriever/Beagle,3.0,3.0,4.5,5.0,5.0,5.0,5.0,1.5,3.0,2.0,3.0,3.5
923,Rat Terrier/Pembroke Welsh Corgi,3.5,3.0,4.0,4.0,3.0,3.5,3.0,3.0,4.0,1.0,2.5,5.0
924,Dachshund Wirehair/Toy Poodle,4.0,2.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,3.0,5.0
925,Pug/Schipperke,3.5,2.5,3.5,4.0,3.0,3.0,2.0,2.5,3.0,2.0,4.5,5.0
927,Beagle/Pointer,3.5,3.5,4.0,4.5,4.5,4.5,4.0,2.0,2.0,1.0,3.0,4.0
928,Boxer/Mastiff,3.0,2.5,3.0,4.5,3.0,3.5,2.5,4.5,3.0,1.0,4.5,4.0
929,Manchester Terrier/Norfolk Terrier,4.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,5.0
930,Shetland Sheepdog/Keeshond,3.0,3.0,3.0,4.0,3.5,4.0,2.5,1.0,4.0,3.5,3.5,5.0
931,Australian Shepherd/Dalmatian,4.0,4.0,4.0,4.5,3.0,3.0,2.5,3.5,4.0,2.5,3.0,4.5
932,Beagle/Standard Poodle,3.0,3.0,4.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,3.0,4.0
934,Miniature Poodle/Border Terrier,3.5,3.0,4.0,3.5,3.5,2.5,3.5,1.0,4.5,4.0,3.0,4.5
935,Border Collie/Standard Schnauzer,4.5,4.0,3.5,2.5,2.5,2.0,1.5,4.0,4.0,3.5,3.0,4.5
936,Bluetick Hound/Great Pyrenees,1.0,3.0,2.0,3.0,2.0,3.0,2.0,4.0,1.0,3.0,5.0,5.0
937,Dachshund Wirehair/Cairn Terrier,4.0,2.5,3.0,3.0,3.0,1.5,1.0,1.5,1.5,2.5,3.0,5.0
938,Miniature Poodle/Chihuahua Shorthair,4.0,3.0,5.0,4.0,4.0,3.0,4.0,1.0,5.0,5.0,3.0,5.0
939,Maltese/Dachshund,4.0,1.5,3.5,3.0,3.0,2.5,1.0,1.5,2.5,2.5,3.5,5.0
940,Anatol Shepherd/Mastiff,1.0,2.0,1.0,4.0,3.0,4.0,2.0,4.0,3.0,1.0,4.0,5.0
941,Labrador Retriever/American Staffordshire Terrier,3.5,3.0,4.0,4.0,2.5,3.0,4.0,3.5,4.5,1.5,3.0,4.5
942,Basset Hound/French Bulldog,2.0,1.333333333,3.0,4.0,2.333333333,3.666666667,2.666666667,1.333333333,2.0,1.6666666669999999,4.333333333,2.333333333
943,Lhasa Apso/Yorkshire Terrier,3.5,1.5,3.5,3.0,2.0,2.5,2.0,1.0,1.5,4.0,4.0,5.0
944,Shih Tzu/Australian Shepherd,3.5,3.0,4.5,4.0,3.5,3.5,3.0,2.5,3.5,3.5,4.0,4.0
945,Lhasa Apso/Border Terrier,3.0,2.5,3.0,3.0,2.5,2.5,2.0,1.0,2.5,3.5,3.5,4.5
946,Lowchen/Miniature Poodle,4.0,2.0,4.0,3.5,4.0,3.5,3.5,1.0,4.0,4.5,3.0,4.5
947,Norwich Terrier/Border Terrier,3.5,3.0,3.0,3.5,3.0,2.5,3.0,1.0,3.5,3.0,3.0,4.5
948,Australian Shepherd/Feist,4.0,5.0,5.0,4.0,3.0,3.0,2.0,4.0,5.0,3.0,3.0,5.0
949,Staffordshire/Australian Cattle Dog,5.0,5.0,4.0,4.0,3.0,2.0,2.0,4.0,5.0,2.0,3.0,5.0
950,Border Terrier/Shih Tzu,3.0,2.0,3.5,3.5,3.5,3.0,3.5,1.0,3.0,3.5,4.0,3.5
951,Dachshund Wirehair/Norfolk Terrier,4.0,2.5,3.0,2.0,3.0,2.5,2.0,1.5,2.0,2.5,3.0,5.0
952,Chihuahua Longhair/Dachshund Longhair,4.0,2.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,3.0,5.0
953,Pembroke Welsh Corgi/Golden Retriever,3.0,3.0,4.0,4.5,4.0,4.5,4.5,3.0,4.5,2.0,3.0,4.0
954,Beagle/Vizsla,3.0,3.0,4.0,5.0,4.0,4.5,5.0,1.0,2.0,1.0,3.0,4.0
955,Australian Cattle Dog/Dachshund,4.5,3.5,3.5,3.5,3.0,2.0,1.5,3.0,3.5,2.0,3.0,5.0
956,Australian Cattle Dog/Alaskan Husky,5.0,5.0,4.0,4.0,3.0,2.0,2.0,4.0,5.0,2.0,3.0,5.0
957,Flat Coat Retriever/Australian Cattle Dog,5.0,5.0,4.0,4.0,3.0,2.0,2.0,4.0,5.0,2.0,3.0,5.0
958,German Shepherd/Black Mouth Cur,3.0,4.0,2.0,3.0,1.0,3.0,2.0,5.0,5.0,2.0,3.0,5.0
959,Beagle/Cardigan Welsh Corgi,3.0,3.0,3.5,4.0,3.5,4.5,4.0,2.5,2.5,1.0,3.0,4.5
960,Pug/French Bulldog,2.333333333,1.333333333,3.666666667,4.0,2.333333333,3.666666667,2.333333333,1.333333333,2.333333333,1.6666666669999999,5.0,3.0
962,Pit Bull/Chow Chow,1.0,2.0,1.0,2.0,1.0,3.0,1.0,4.0,1.0,3.0,5.0,5.0
963,Whippet/Jack Russell Terrier,4.0,3.5,4.0,3.5,3.5,2.5,3.0,1.5,3.0,2.0,3.0,4.5
964,Treeing Walker Coonhound/German Shepherd,3.0,4.0,2.0,3.0,1.0,3.0,2.0,5.0,5.0,2.0,3.0,5.0
966,Border Collie/Pointer,4.5,4.5,4.0,3.5,3.5,2.5,2.5,3.0,4.0,2.0,3.0,4.0
967,American Foxhound/Labrador Retriever,4.0,3.5,4.0,4.0,4.5,4.5,4.5,1.5,3.5,1.5,3.0,4.0
968,Lhasa Apso/Cairn Terrier,3.5,2.5,3.0,3.0,2.5,2.0,1.0,1.0,1.0,3.5,3.5,5.0
969,Basset Hound/English Cocker Spaniel,2.5,2.5,3.0,4.5,4.0,4.0,3.5,1.5,3.0,2.5,3.0,3.5
970,American Eskimo/Australian Shepherd,4.0,5.0,5.0,4.0,3.0,3.0,2.0,4.0,5.0,3.0,3.0,5.0
971,Great Dane/Boerboel,2.5,2.5,2.0,3.5,1.5,2.0,2.5,4.0,2.5,1.0,3.5,4.5
973,Bichon Frise/Toy Poodle,4.0,2.0,5.0,5.0,4.0,4.0,5.0,1.0,4.0,5.0,3.0,4.0
975,American Bulldog/English Bulldog,1.0,1.0,4.0,5.0,1.0,4.0,4.0,2.0,2.0,2.0,5.0,1.0
976,Jack Russell Terrier/Border Collie,5.0,4.5,4.5,3.0,2.5,1.0,2.5,2.5,4.0,3.0,3.0,4.5
977,Irish Terrier/Border Terrier,3.0,3.0,4.0,2.5,2.0,1.5,2.5,2.5,2.5,3.5,3.0,4.5
978,Lhasa Apso/Havanese,3.5,2.5,4.0,4.0,3.0,3.5,3.0,1.0,2.5,3.5,3.5,4.5
979,Jack Russell Terrier/Chihuahua Longhair,5.0,4.0,5.0,3.0,2.0,1.0,3.0,2.0,3.0,3.0,3.0,5.0
980,Canaan Dog/Redbone Hound,3.0,4.0,3.0,3.0,3.0,4.0,2.0,3.0,4.0,1.0,3.0,5.0
981,Cairn Terrier/Border Terrier,3.5,3.0,3.0,3.0,3.0,1.5,2.0,1.0,2.5,3.0,3.0,4.5
982,Dachshund/German Shepherd,3.5,3.0,2.5,3.0,2.0,2.5,1.5,3.5,3.5,2.0,3.0,5.0
983,Chow Chow/Siberian Husky,2.0,3.0,2.5,3.0,2.0,3.0,3.0,2.5,1.0,3.0,5.0,4.0
984,Miniature Schnauzer/Border Collie,4.0,4.0,4.0,3.5,3.0,2.0,2.5,2.0,4.0,3.0,3.0,4.5
985,Miniature Schnauzer/Border Terrier,3.0,3.0,3.5,3.5,3.0,2.5,3.0,1.0,3.5,3.0,3.0,4.5
986,Whippet/Labrador Retriever,3.5,3.0,4.0,4.5,4.5,4.5,4.0,1.5,4.0,1.5,3.0,4.0
987,Dachshund/Yorkshire Terrier,4.0,1.5,3.5,3.0,2.5,2.0,2.0,1.5,2.0,3.0,3.5,5.0
988,Yorkshire Terrier/Norfolk Terrier,4.0,2.0,3.5,2.0,2.5,2.5,3.0,1.0,2.0,3.5,3.5,5.0
989,Cardigan Welsh Corgi/Chihuahua Longhair,3.0,3.0,3.0,3.0,2.0,4.0,3.0,4.0,4.0,1.0,3.0,5.0
990,Chihuahua Shorthair/Pembroke Welsh Corgi,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,1.0,3.0,5.0
991,English Coonhound/Border Collie,4.0,4.0,3.5,3.0,3.5,2.0,2.5,2.5,3.0,2.0,3.0,3.5
992,Pointer/Australian Kelpie,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,3.0,4.0
993,Boxer/Anatol Shepherd,5.0,3.0,5.0,5.0,3.0,3.0,3.0,5.0,3.0,1.0,5.0,3.0
994,Chihuahua Shorthair/Affenpinscher,4.0,3.0,4.0,4.0,3.0,3.0,3.0,1.0,3.0,4.0,4.0,5.0
995,Soft Coated Wheaten Terrier/Standard Poodle,3.0,3.0,4.0,5.0,3.0,3.0,4.0,2.0,3.0,4.0,5.0,4.0
996,German Wirehaired Pointer/Labrador Retriever,4.333333333,4.0,4.333333333,4.0,3.333333333,4.0,3.333333333,3.0,3.666666667,2.0,3.0,4.333333333
997,Lhasa Apso/Cocker Spaniel,3.0,2.0,3.0,3.0,2.0,3.0,1.0,1.0,1.0,4.0,4.0,5.0
998,French Bulldog/Pug,2.333333333,1.333333333,3.666666667,4.0,2.333333333,3.666666667,2.333333333,1.333333333,2.333333333,1.6666666669999999,5.0,3.0
999,Border Terrier/Bruss Griffon,3.0,3.0,3.0,3.0,3.0,2.0,3.0,1.0,4.0,3.0,3.0,4.0
1000,Basset Hound/Golden Retriever,2.5,2.5,3.5,4.5,4.0,4.0,4.0,1.5,3.5,2.5,3.0,3.0
1001,Dachshund/English Foxhound,4.0,3.0,3.0,3.0,4.0,2.5,2.5,1.5,2.0,1.5,3.0,4.5
1002,Finnish Spitz/Dachshund,3.5,2.5,3.0,3.0,3.0,2.5,1.0,2.5,2.5,2.5,3.5,4.5
1003,Dalmatian/Australian Cattle Dog,4.5,4.0,3.5,4.5,3.0,2.5,2.5,3.5,4.0,2.0,3.0,4.5
1004,French Bulldog/English Bulldog,2.0,1.0,3.5,4.0,2.0,4.0,2.5,1.5,2.0,1.5,5.0,2.0
1005,Chihuahua Longhair/Italian Greyhound,3.0,2.5,3.0,4.0,3.5,3.0,2.5,1.5,3.0,1.0,3.0,2.5
1006,Border Terrier/Miniature Poodle,3.5,3.0,4.0,3.5,3.5,2.5,3.5,1.0,4.5,4.0,3.0,4.5
1007,Black Mouth Cur/Basset Hound,2.0,2.0,2.0,4.0,3.0,3.0,3.0,1.0,2.0,2.0,3.0,3.0
1008,Beagle/Staffordshire,3.0,3.0,4.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,3.0,4.0
1009,Newfoundland/Border Collie,3.5,3.5,3.5,4.0,3.5,3.0,3.5,3.5,4.0,3.0,4.0,3.5
1010,Labrador Retriever/Miniature Poodle,4.0,3.0,5.0,4.5,4.0,4.0,4.5,1.5,5.0,3.5,3.0,4.5
1011,Jack Russell Terrier/Manchester Terrier,5.0,4.0,5.0,3.0,2.0,1.0,3.0,2.0,3.0,3.0,3.0,5.0
1012,Labrador Retriever/Redbone Hound,4.0,3.0,5.0,5.0,4.0,5.0,5.0,2.0,5.0,2.0,3.0,4.0
1013,Mastiff/Cane Corso,2.0,2.5,1.5,4.0,2.5,3.0,2.0,4.5,3.0,1.0,3.5,5.0
1014,Maltese/Lhasa Apso,3.5,1.5,3.5,3.0,2.5,3.0,1.0,1.0,2.0,3.5,4.0,5.0
1015,Black/Tan Hound/Siberian Husky,3.0,4.0,4.0,4.0,3.0,3.0,5.0,1.0,1.0,3.0,5.0,3.0
1016,Pit Bull/Bull Terrier,4.0,3.0,5.0,3.0,1.0,3.0,3.0,4.0,1.0,1.0,3.0,5.0
1017,Mastiff/German Shepherd,2.0,3.0,1.5,3.5,2.0,3.5,2.0,4.5,4.0,1.5,3.5,5.0
1018,Border Collie/Queensland Heeler,5.0,5.0,4.0,3.0,3.0,1.0,2.0,3.0,5.0,3.0,3.0,4.0
1020,Manchester Terrier/Dachshund,4.0,2.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,3.0,5.0
1021,Miniature Poodle/Cairn Terrier,4.0,3.0,4.0,3.5,3.5,2.0,2.5,1.0,3.0,4.0,3.0,5.0
1022,Beagle/Queensland Heeler,3.0,3.0,4.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,3.0,4.0
1023,Pug/Border Terrier,3.0,2.5,3.5,3.5,3.0,2.5,2.5,1.0,3.5,2.5,4.0,4.5
1024,Dachshund Wirehair/Miniature Poodle,4.0,2.5,4.0,3.5,3.5,2.5,2.5,1.5,3.5,3.5,3.0,5.0
1026,Golden Retriever/Pembroke Welsh Corgi,3.0,3.0,4.0,4.5,4.0,4.5,4.5,3.0,4.5,2.0,3.0,4.0
1027,Akita/Siberian Husky,3.0,3.5,3.5,3.5,2.0,2.5,3.0,2.5,2.0,2.5,5.0,4.0
1028,Cairn Terrier/Italian Greyhound,3.333333333,2.666666667,3.0,3.666666667,3.333333333,2.333333333,2.0,1.333333333,2.333333333,1.6666666669999999,3.0,3.333333333
1029,Australian Kelpie/Bull Terrier,4.0,3.0,5.0,3.0,1.0,3.0,3.0,4.0,1.0,1.0,3.0,5.0
1030,Boxer/Great Pyrenees,3.0,3.0,3.5,4.0,2.5,3.0,2.5,4.5,2.0,2.0,5.0,4.0
1031,Australian Cattle Dog/Vizsla,4.0,4.0,4.0,4.5,3.0,3.0,3.5,2.5,4.0,1.5,3.0,4.5
1032,Vizsla/Staffordshire,3.0,3.0,4.0,5.0,3.0,4.0,5.0,1.0,3.0,1.0,3.0,4.0
1033,Wire Hair Fox Terrier/Dachshund,4.0,2.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,3.0,5.0
1034,Australian Kelpie/Border Collie,5.0,5.0,4.0,3.0,3.0,1.0,2.0,3.0,5.0,3.0,3.0,4.0
1035,Labrador Retriever/Whippet,3.5,3.0,4.0,4.5,4.5,4.5,4.0,1.5,4.0,1.5,3.0,4.0
1036,Bruss Griffon/Dachshund,4.0,2.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,3.0,5.0
1037,St. Bernard Rough Coat/Boxer,5.0,3.0,5.0,5.0,3.0,3.0,3.0,5.0,3.0,1.0,5.0,3.0
1038,Black Mouth Cur/Mastiff,1.0,2.0,1.0,4.0,3.0,4.0,2.0,4.0,3.0,1.0,4.0,5.0
1039,Chihuahua Shorthair/Basset Hound,2.0,2.0,2.0,4.0,3.0,3.0,3.0,1.0,2.0,2.0,3.0,3.0
1040,Miniature Schnauzer/Toy Poodle,3.0,3.0,4.0,4.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,5.0
1041,Plott Hound/Beagle,3.0,3.0,3.5,4.0,3.5,3.5,3.5,2.5,1.5,1.0,3.0,4.0
1042,Welsh Springer Spaniel/Labrador Retriever,3.5,3.0,4.0,4.5,3.5,4.0,3.5,2.0,4.0,2.5,3.0,4.0
1043,Great Pyrenees/Chow Chow,1.0,2.5,1.5,2.5,1.5,3.0,1.5,4.0,1.0,3.0,5.0,5.0
1045,Great Pyrenees/Catahoula,1.0,3.0,2.0,3.0,2.0,3.0,2.0,4.0,1.0,3.0,5.0,5.0
1046,Papillon/Skye Terrier,3.0,1.5,4.0,4.5,2.5,2.5,2.5,1.0,4.0,3.0,3.5,5.0
1047,Alaskan Husky/Border Collie,5.0,5.0,4.0,3.0,3.0,1.0,2.0,3.0,5.0,3.0,3.0,4.0
1048,Shih Tzu/Toy Poodle,3.0,1.0,4.0,4.0,4.0,4.0,4.0,1.0,2.0,4.0,5.0,3.0
1049,Field Spaniel/Cocker Spaniel,3.0,3.0,3.0,5.0,3.0,5.0,3.0,2.0,4.0,3.0,3.0,4.0
1050,Golden Retriever/Dachshund,3.5,2.5,4.0,4.0,4.0,3.5,3.0,2.0,3.5,2.5,3.0,4.0
1051,German Shepherd/Anatol Shepherd,3.0,4.0,2.0,3.0,1.0,3.0,2.0,5.0,5.0,2.0,3.0,5.0
1053,Boxer/Chinese Sharpei,5.0,3.0,5.0,5.0,3.0,3.0,3.0,5.0,3.0,1.0,5.0,3.0
1054,Yorkshire Terrier/Chinese Crested,4.0,1.0,4.0,3.0,2.0,2.0,3.0,1.0,2.0,4.0,4.0,5.0
1055,Border Collie/Bull Terrier,4.5,4.0,4.5,3.0,2.0,2.0,2.5,3.5,3.0,2.0,3.0,4.5
1056,Rottweiler/Australian Shepherd,3.5,4.0,3.5,3.0,2.0,2.5,1.5,4.5,4.0,2.0,3.5,5.0
1057,Chinese Sharpei/Australian Cattle Dog,5.0,5.0,4.0,4.0,3.0,2.0,2.0,4.0,5.0,2.0,3.0,5.0
1058,Jack Russell Terrier/Shetland Sheepdog,4.0,3.5,4.0,3.0,3.0,2.5,2.0,1.5,4.0,3.5,3.0,5.0
1059,Australian Kelpie/Australian Cattle Dog,5.0,5.0,4.0,4.0,3.0,2.0,2.0,4.0,5.0,2.0,3.0,5.0
1060,Chow Chow/Australian Kelpie,1.0,2.0,1.0,2.0,1.0,3.0,1.0,4.0,1.0,3.0,5.0,5.0
1061,Rottweiler/Siberian Husky,3.0,3.5,3.0,3.0,2.0,2.5,3.0,3.0,2.0,2.0,4.5,4.0
1062,Smooth Fox Terrier/Cardigan Welsh Corgi,3.5,3.0,3.5,3.5,2.5,3.0,3.5,2.5,4.0,1.0,3.0,5.0
1063,Yorkshire Terrier/Shih Tzu,3.5,1.0,4.0,3.5,3.0,3.0,3.5,1.0,2.0,4.0,4.5,4.0
1064,German Shepherd/German Shepherd,3.0,4.0,2.0,3.0,1.0,3.0,2.0,5.0,5.0,2.0,3.0,5.0
1065,Blue Lacy/Pointer,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,3.0,4.0
1066,Australian Cattle Dog/American Foxhound,4.5,4.5,3.5,3.5,4.0,3.0,3.0,2.5,3.5,1.5,3.0,4.5
1067,Miniature Schnauzer/Dachshund Wirehair,3.5,2.5,3.5,3.5,3.0,2.5,2.0,1.5,2.5,2.5,3.0,5.0
1068,Siberian Husky/Alaskan Malamute,3.0,4.0,3.5,4.5,2.0,2.0,4.5,2.0,1.0,3.0,5.0,3.0
1069,Miniature Poodle/Shih Tzu,3.5,2.0,4.5,4.0,4.0,3.5,4.0,1.0,3.5,4.5,4.0,4.0
1070,Belgian Tervuren/German Shepherd,3.5,4.5,3.0,3.5,2.0,3.0,1.5,5.0,5.0,2.5,3.0,5.0
1071,Basset Hound/Border Collie,3.5,3.5,3.0,3.5,3.0,2.0,2.5,2.0,3.5,2.5,3.0,3.5
1072,Norfolk Terrier/Cairn Terrier,4.0,3.0,3.0,2.0,3.0,2.0,2.0,1.0,1.5,3.0,3.0,5.0
1073,Chow Chow/Pomeranian,2.5,1.5,2.5,1.5,1.0,3.0,1.0,2.5,1.0,3.0,4.0,5.0
1075,Basset Hound/Great Pyrenees,1.5,2.5,2.0,3.5,2.5,3.0,2.5,2.5,1.5,2.5,4.0,4.0
1077,Jack Russell Terrier/Boston Terrier,4.0,2.5,4.0,3.0,2.5,2.5,3.0,1.5,3.0,2.0,4.0,5.0
1080,Australian Cattle Dog/Chihuahua Shorthair,5.0,5.0,4.0,4.0,3.0,2.0,2.0,4.0,5.0,2.0,3.0,5.0
1081,Redbone Hound/Australian Cattle Dog,5.0,5.0,4.0,4.0,3.0,2.0,2.0,4.0,5.0,2.0,3.0,5.0
1082,Blue Lacy/Cardigan Welsh Corgi,3.0,3.0,3.0,3.0,2.0,4.0,3.0,4.0,4.0,1.0,3.0,5.0
1084,Siberian Husky/American Pit Bull Terrier,3.5,3.5,4.5,3.5,2.0,3.0,4.0,2.5,1.0,2.0,4.0,4.0
1085,Great Pyrenees/American Bulldog,1.0,2.0,3.0,4.0,1.5,3.5,3.0,3.0,1.5,2.5,5.0,3.0
1086,Golden Retriever/Finnish Spitz,3.0,3.0,4.0,4.0,4.0,4.0,3.0,2.5,4.0,3.0,3.5,3.5
1087,Feist/Beagle,3.0,3.0,4.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,3.0,4.0
1088,Chow Chow/Pekingese,1.0,1.5,1.0,2.0,2.0,3.5,1.5,2.5,1.0,4.0,5.0,5.0
1089,Beagle/Catahoula,3.0,3.0,4.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,3.0,4.0
1090,Boxer/Miniature Poodle,4.5,3.0,5.0,4.5,3.5,3.0,3.5,3.0,4.0,3.0,4.0,4.0
1091,Great Dane/Boxer,3.5,2.5,3.5,4.5,2.5,2.5,3.5,4.0,3.0,1.0,4.5,3.5
1092,Catahoula/English Coonhound,3.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0
1093,Toy Poodle/Maltese,4.0,1.0,4.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,4.0,5.0
1094,Shetland Sheepdog/Basenji,3.5,3.0,3.0,3.0,3.0,2.5,2.0,1.0,3.5,2.5,3.0,5.0
1095,Collie Rough/Labrador Retriever,4.0,3.0,5.0,5.0,4.0,5.0,5.0,2.0,5.0,2.0,3.0,4.0
1096,Australian Cattle Dog/Staffordshire,5.0,5.0,4.0,4.0,3.0,2.0,2.0,4.0,5.0,2.0,3.0,5.0
1097,Chihuahua Shorthair/Miniature Poodle,4.0,3.0,5.0,4.0,4.0,3.0,4.0,1.0,5.0,5.0,3.0,5.0
1098,Boxer/American Pit Bull Terrier,4.5,3.0,5.0,4.0,2.0,3.0,3.0,4.5,2.0,1.0,4.0,4.0
1099,English Springer Spaniel/Beagle,3.0,3.5,4.0,5.0,4.0,5.0,4.5,1.5,3.0,2.5,3.0,4.0
1100,Pit Bull/Cardigan Welsh Corgi,3.0,3.0,3.0,3.0,2.0,4.0,3.0,4.0,4.0,1.0,3.0,5.0
1101,Catahoula/Cardigan Welsh Corgi,3.0,3.0,3.0,3.0,2.0,4.0,3.0,4.0,4.0,1.0,3.0,5.0
1102,Dachshund/Shetland Sheepdog,3.5,2.5,3.0,3.0,3.5,3.0,1.0,1.5,3.5,3.0,3.0,5.0
1103,Pit Bull/French Bulldog,2.0,1.0,3.5,4.0,2.0,4.0,2.5,1.5,2.0,1.5,5.0,2.0
1104,Smooth Fox Terrier/Chihuahua Shorthair,4.0,3.0,4.0,4.0,3.0,2.0,4.0,1.0,4.0,1.0,3.0,5.0
1105,Golden Retriever/Catahoula,3.0,3.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,3.0,3.0,3.0
1106,Miniature Schnauzer/Maltese,3.5,2.0,4.0,3.5,3.0,3.0,2.0,1.0,3.0,3.0,3.5,5.0
1107,Shih Tzu/Pug,3.0,1.5,4.0,4.0,3.5,3.5,3.0,1.0,2.5,3.0,5.0,4.0
1108,Golden Retriever/Brittany,3.0,3.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,3.0,3.0,3.0
1109,Mastiff/Chinese Sharpei,1.0,2.0,1.0,4.0,3.0,4.0,2.0,4.0,3.0,1.0,4.0,5.0
1111,Cairn Terrier/Miniature Poodle,4.0,3.0,4.0,3.5,3.5,2.0,2.5,1.0,3.0,4.0,3.0,5.0
1112,Anatol Shepherd/Border Collie,5.0,5.0,4.0,3.0,3.0,1.0,2.0,3.0,5.0,3.0,3.0,4.0
1113,Chihuahua Longhair/Dachshund Wirehair,4.0,2.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,3.0,5.0
1114,American Pit Bull Terrier/Labrador Retriever,4.0,3.0,5.0,4.0,2.5,4.0,4.0,3.0,3.0,1.5,3.0,4.5
1115,Vizsla/German Shepherd,3.0,3.5,3.0,4.0,2.0,3.5,3.5,3.0,4.0,1.5,3.0,4.5
1116,Beagle/Pembroke Welsh Corgi,3.0,3.0,3.5,4.5,4.0,4.5,4.5,2.5,2.5,1.0,3.0,4.5
1117,Dachshund Longhair/Miniature Poodle,4.0,2.5,4.0,3.5,3.5,2.5,2.5,1.5,3.5,3.5,3.0,5.0
1119,Miniature Poodle/Australian Cattle Dog,4.5,4.0,4.5,4.0,3.5,2.5,3.0,2.5,5.0,3.5,3.0,5.0
1120,Australian Cattle Dog/Dalmatian,4.5,4.0,3.5,4.5,3.0,2.5,2.5,3.5,4.0,2.0,3.0,4.5
